id,ano,estado,beneficiario,rnpa,municipio,localidad,tipo_monto,monto,cod_inegi
1,2011,SONORA,"ACUACULTURA SANTA FE, SA DE CV",2605001276,HERMOSILLO,HERMOSILLO,Estatal,414801,
2,2011,SONORA,"ACUACULTURA SANTA FE, SA DE CV",2605001276,HERMOSILLO,HERMOSILLO,Federal,1728339,
3,2011,SONORA,"ACUICOLA BOCA, SA DE CV",2602002350,CAJEME,"CIUDAD OBREGON",Estatal,140315,
4,2011,SONORA,"ACUICOLA BOCA, SA DE CV",2602002350,CAJEME,"CIUDAD OBREGON",Federal,584645,
5,2011,SONORA,"ACUICOLA LA BORBOLLA, SA DE CV",2611001310,HERMOSILLO,HERMOSILLO,Estatal,168711,
6,2011,SONORA,"ACUICOLA LA BORBOLLA, SA DE CV",2611001310,HERMOSILLO,HERMOSILLO,Federal,702961,
7,2011,SONORA,"ACUICOLA MARRION, SA DE CV",2611002235,HERMOSILLO,HERMOSILLO,Estatal,124314,
8,2011,SONORA,"ACUICOLA MARRION, SA DE CV",2611002235,HERMOSILLO,HERMOSILLO,Federal,517974,
9,2011,SONORA,"ACUICOLA SAN FERNANDO, SA DE CV",2605001102,HERMOSILLO,HERMOSILLO,Estatal,132953,
10,2011,SONORA,"ACUICOLA SAN FERNANDO, SA DE CV",2605001102,HERMOSILLO,HERMOSILLO,Federal,553971,
11,2011,SONORA,"ACUICOLA SAYRI, SA DE CV",2611001344,HERMOSILLO,HERMOSILLO,Estatal,524224,
12,2011,SONORA,"ACUICOLA SAYRI, SA DE CV",2611001344,HERMOSILLO,HERMOSILLO,Federal,2184266,
13,2011,SONORA,"ACUICOLA SELECTA, SA DE CV",2605001110,HERMOSILLO,HERMOSILLO,Estatal,350420,
14,2011,SONORA,"ACUICOLA SELECTA, SA DE CV",2605001110,HERMOSILLO,HERMOSILLO,Federal,1460085,
15,2011,SONORA,"ACUICOLA SOID, SA DE CV",2604011763,HERMOSILLO,HERMOSILLO,Estatal,313707,
16,2011,SONORA,"ACUICOLA SOID, SA DE CV",2604011763,HERMOSILLO,HERMOSILLO,Federal,1307111,
17,2011,SONORA,"EL CAMARON DORADO, SA DE CV",2609001033,CAJEME,"CIUDAD OBREGON",Estatal,139764,
18,2011,SONORA,"EL CAMARON DORADO, SA DE CV",2609001033,CAJEME,"CIUDAD OBREGON",Federal,582349,
19,2011,SONORA,"GRAN KINO SINALOENSE, SA DE CV",2611001088,HERMOSILLO,HERMOSILLO,Estatal,210252,
20,2011,SONORA,"GRAN KINO SINALOENSE, SA DE CV",2611001088,HERMOSILLO,HERMOSILLO,Federal,876051,
21,2011,SONORA,"GRANJAS AQUANOVA, SA DE CV",2611002250,HERMOSILLO,HERMOSILLO,Estatal,451451,
22,2011,SONORA,"GRANJAS AQUANOVA, SA DE CV",2611002250,HERMOSILLO,HERMOSILLO,Federal,1881045,
23,2011,SONORA,"GUAY MAR ACUICOLA, SA DE CV",2605001417,HERMOSILLO,HERMOSILLO,Estatal,963970,
24,2011,SONORA,"GUAY MAR ACUICOLA, SA DE CV",2605001417,HERMOSILLO,HERMOSILLO,Federal,4016542,
25,2011,SONORA,"KINO ACUACULTORES, SA DE CV",2611000841,HERMOSILLO,HERMOSILLO,Estatal,132953,
26,2011,SONORA,"KINO ACUACULTORES, SA DE CV",2611000841,HERMOSILLO,HERMOSILLO,Federal,553971,
27,2011,SONORA,"KIWIS ACUACULTORES, S.P.R. DE  R.L.",2611002227,HERMOSILLO,HERMOSILLO,Estatal,134112,
28,2011,SONORA,"KIWIS ACUACULTORES, S.P.R. DE  R.L.",2611002227,HERMOSILLO,HERMOSILLO,Federal,558798,
29,2011,SONORA,"M&M ACUACULTORES, S DE P. R. DE R. L.",2611001336,HERMOSILLO,HERMOSILLO,Estatal,175395,
30,2011,SONORA,"M&M ACUACULTORES, S DE P. R. DE R. L.",2611001336,HERMOSILLO,HERMOSILLO,Federal,730813,
31,2011,SONORA,"MARICULTURA DEL PACIFICO, SA DE CV",2508006547,HERMOSILLO,HERMOSILLO,Estatal,383239,
32,2011,SONORA,"MARICULTURA DEL PACIFICO, SA DE CV",2508006547,HERMOSILLO,HERMOSILLO,Federal,1596830,
33,2011,SONORA,"OASIS ACUICOLA, SA DE CV",2611000973,HERMOSILLO,HERMOSILLO,Estatal,39420,
34,2011,SONORA,"OASIS ACUICOLA, SA DE CV",2611000973,HERMOSILLO,HERMOSILLO,Federal,164249,
